user_message,label,model_choice
"describer: upside down bird
",J,K
"describer: person sitting with legs to the left
",F,F
"describer: the mouse looking one
",B,K
"describer: ugly bunny with triangle tail
",G,G
"describer: standing with one foot and leg lifted up pointing to the left
matcher: kicker. got it.
",A,K
"describer: kicker good word
matcher: thanks. ;d
describer: the one standing with the tail to the right
describer: let's call it the flyer
matcher: sounds good. nice name.
",I,K
"describer: the mouse
",B,
"describer: sitting bunny looking to the right
",E,F
"describer: bent knees with arms to the right
",L,F
"describer: upside down bird
",J,K
"describer: arms spread wide
",C,K
"describer: the flyer
",I,
"describer: ugly laying down bunny with triangle tail
describer: call it drunken bunny?
matcher: .
matcher: ugly bunny is fine.
",G,F
"describer: blocky kneeling knees to right
",H,F
"describer: the kicker
",A,
"describer: blocky stander with arms to the left
describer: stander
",D,I
"describer: person sitting legs to the left
",F,F
"describer: kneeling with feet pointed up and arms right
describer: double square
",K,
"describer: upside down bird
",J,K
"describer: person sitting legs to the left
",F,F
"describer: ugly bunny
",G,
"describer: the mouse
",B,
"describer: arms spread wide
",C,K
"describer: the kicker
",A,
"describer: knees bent arms to the right
",L,"Image C, Image F, Image I, and Image K."
"describer: sitting bunny
",E,F
"describer: blocky kneeling no arms knees point right
",H,F
"describer: kneeling feet pointed up arms right double square
matcher: feet up kneeling. got it.
",K,F
"describer: stander with arms to the left
",D,F
"describer: the flyer
",I,
"describer: arms spread wide
",C,K
"describer: kneeling feet pointed up
",K,F
"describer: sitting bunny
",E,F
"describer: person sitting feet to the left
",F,F
"describer: the kicker
",A,
"describer: bent knees arms to the right
",L,K
"describer: the flyer
",I,
"describer: blocky kneeling knees pointing to the right
",H,A
"describer: upside down bird
",J,K
"describer: stander with arms pointing to the left
",D,A
"describer: the mouse
",B,
"describer: ugly bunny
",G,
"describer: bent knees arms to the right
",L,K
"describer: person sitting feet to the left
",F,F
"describer: the kicker
",A,
"describer: ugly bunny
",G,
"describer: arms spread wide
",C,K
"describer: the flyer
",I,
"describer: stander with arms out to the left
",D,A
"describer: the mouse
",B,
"matcher: final stretch, man.
matcher: good cooperating with ya!
describer: kneeling with toes pointed up. so close...good job to you too
",K,F
"describer: blocky kneeling knees pointed right
describer: no arms
",H,F
"describer: upside down bird
",J,K
"describer: sitting bunny
",E,F
"matcher: hi
describer: hello
matcher: let's make some money eh?
describer: ok
describer: the image kind of look like they are praying
matcher: that could be 3 of them, which way they face?
describer: they face to the right.
matcher: tail in the back or no tail?
describer: no tail
",L,
"describer: ththe tail is really far out on this image
",G,L
"matcher: nice work, that was much quicker
describer: yes :)
describer: this time it's the one with the tail
",K,K
"describer: this figure looks like it's wearing a cape
matcher: does it look like it's facing out to me
describer: it's looks like a black ghost
describer: yes
",H,L
"describer: this is one is facing you and is pointing to the left
matcher: looks like it's holding a top hat to the left
describer: yes that one
",D,J
"describer: this one is facing you and it looks like it's standing on one leg
matcher: side kick?
describer: and it has its arms out
describer: yes
",I,I
"matcher: yeah, just call that one sidekick
describer: this is one looks like it is sitting down, and their head is looking down.
matcher: rabbit ears?
describer: yes
",E,
"matcher: there's your name for that too
describer: there's a guy who is sitting down with his legs angle up in front of him
describer: he has a block head
",F,I
"describer: the figure is sitting down with their head up and triangle arms pointing out. they have a triangle hat.
describer: they're kind of looking up with a square head
describer: and their feet in front of them.
matcher: looks like a girl in a pony tail in a kimono facing left
describer: yes
",B,L
"describer: this one is facing you. they are pointing right. but there bottom is flat on the ground.
",J,K
"matcher: not sure what happened there...i clicked on one, and another lit up
describer: we'll get this one :)
describer: this one is doing a weird dance.
",A,
"describer: this one looks like it's flying. it looks like it's coming off the page a bit. it's drawn at an angle
",C,L
"describer: this one is pointing to the left and it's bottom is flat on the ground
",D,F
"matcher: same thing just happened
matcher: like my selection box has a mind of its own
describer: it's okay. it's the one with the cape again.
describer: it's facing you
matcher: it's jagged on the right, correct, flat under the head
describer: it has no arms and looks like it's floating.
",H,L
"describer: it's the last one you chose
matcher: oops
describer: flat on the side and jagged on the right
",J,L
"describer: this one has a tail pointing up and arms pointing right. it looks like it's facing you.
",K,A
"describer: this is is praying with it's arms out and is sitting down with it's head titled up. has a triangle headwrap
",B,F
"describer: this guy is sitting down with his legs out and is looking up and facing the left.
",F,F
"describer: this one is flying and is drawn at an angle.
",C,C
"describer: this one is facing you and it' bending with it's arms facing the right.
",L,K
"describer: this one is doing a sidekick
",I,F
"describer: this one has a head that is about to fall off and looks like he is standing on one leg. his hands are pointing down
",A,A
"describer: this one has the bunny ears
",E,
"describer: this one has the tail way out in front of them. the arm is pointing down
",G,J
"describer: head is about to fall off and is standing on one leg with their hand pointing down
",A,K
"describer: this one is facing you. it has no hands
",H,I
"describer: this one is pointing to the right. it does not have a tail.
",L,G
"describer: this one is flat on one side and rigid on the other.
",J,G
"describer: this one is praying with their arms to the left and a triangle headpiece
",B,F
"describer: this one has the bunny ears
",E,
"describer: this one is pointing to the right and has a tail
",K,I
"describer: this one is on the ground facing the left and is looking up
",F,G
"describer: this one is drawn at an angle
",C,G
"describer: this one looks like it's holding a top hat
",D,A
"describer: one of the leg is all the way out and is bigger than the other
",G,F
"describer: the one doing the sidekick
",I,
"matcher: good rhythm now
describer: rabbit ears
",E,
"describer: the one facing you
",H,H
"describer: triangle headwrap
",B,I
"describer: sitting down with legs out, looking up, facing the left
",F,F
"describer: hi
matcher: hi
describer: the shape looks like someone is holding a tray, the tray is to their right.
",D,
"describer: this shape has a straight angle looks like a square or rectangle on one side
describer: only one like it
",J,K
"describer: this shape is standing straight, both shoulders are at a downward slope, no arms outstretched
",H,A
"describer: this shape is holding a tray, tray is on my right. there are two similar figures this one does not look like a zig zag at the bottom.
",K,L
"matcher: got to be faster. i have 22 min left on this hit
describer: this figure is leaning towards my left. one foot is planted the other is up so the legs form an upside down 'left' shape.
",I,H
"describer: looks like someone has arms outstretched
",C,C
"matcher: that is angel
describer: holding tray on my right
describer: i'm doing the best i can
describer: zig zag shape
",L,J
"describer: figure kneeling arms out sleeves look like triangles
",B,F
"matcher: well done
describer: kicking leg up head looks like beak
",A,A
"describer: upper body at angle, leg on my left is resting on floor
matcher: last was back kick
describer: ok
matcher: more info needed
describer: leg on my left looks like shin is on floor
",G,J
"describer: resting against something on my right
describer: sitting
",F,
"describer: sitting resting on my left
",E,C
"describer: kneeling with arms out
describer: repeat
",B,F
"matcher: sorry
matcher: sorry
describer: my left is straight angle like square, another one we did before
describer: before
describer: shoulder is 90 degree
",J,
"describer: straight figure shoulders downwards angle
",H,F
"describer: leaning sitting on my right
",F,C
"describer: back kick
",I,K
"describer: holding tray on my left
",D,A
"describer: beak head
",A,K
"describer: angel
matcher: my bad
",C,B
"describer: tray on my right zig zag
",L,F
"describer: tray on my right not zig zag
describer: zag
",K,B
"describer: sitting leaning my left
",E,F
"describer: leg laying on floor
describer: shin down
",G,F
"describer: angel
",C,A
"describer: beak head
",A,K
"describer: zig zag
",L,J
"describer: not zig zag
describer: zag
",K,K
"describer: leaning on my right
",F,F
"describer: leaning on left
",E,A
"describer: back kick
",I,K
"describer: tray on my left
",D,J
"describer: shoulders down
",H,H
"describer: left side straight angle
",J,I
"describer: shin down
",G,K
"describer: kneeling arms out
",B,F
"describer: left straight angle
",J,L
"describer: angel
",C,A
"describer: left tray
",D,I
"describer: shin down
",G,K
"describer: zig zag
",L,J
"describer: beak head
",A,K
"describer: back kick
",I,K
"describer: leaning right
",F,G
"describer: leaning left
",E,F
"describer: not zig zag
",K,"I, J, K, or L"
"matcher: fuck
describer: arms out kneeling
",B,G
"describer: shoulders down
",H,H
"describer: leaning left
",E,F
"describer: back kick
",I,K
"describer: not zig zag
",K,"I, J, K, or L"
"describer: shoulders down
",H,H
"describer: left tray
",D,I
"describer: beak
",A,K
"describer: shin down
",G,K
"describer: leaning right
",F,G
"describer: zig zag
",L,J
"describer: kneeling
describer: arms out
",B,F
"describer: left straight angle
",J,L
"describer: angel
",C,A
"describer: kneeling
",B,F
"describer: left straight
matcher: i suck
",J,I
"describer: no worries
describer: beak
",A,K
"describer: angel
",C,A
"describer: zig zag
",L,J
"describer: tray left
",D,L
"describer: leaning left
",E,F
"describer: shin down
",G,K
"describer: shoulders down
",H,H
"describer: back kick
",I,K
"describer: leaning right
",F,G
"describer: not zig zag
",K,"I, J, K, or L"
"describer: it looks like a person holding up two arms
",C,C
"describer: this one looks squared off with a square at the top
",J,A
"describer: it is wider at the bottom and looks like a square tipping of a cliff and a triangle hanging off
",B,
"describer: it looks like a person kneeling on one knee to propose
",G,K
"describer: it looks like someone kneeling
",H,F
"matcher: hey, why don't we name them
describer: ok
describer: this one looks like it's begging for money
describer: how would we go about naming them
describer: *how
matcher: i think maybe describe each one's position fully once and name it like 'beggar' or 'bunny ears'
matcher: then each round we could go pretty quick
describer: we can try that
matcher: okay! i see: one that looks like one foot standing on the ground and one foot kicking back, that could be 'kick back'
matcher: one looks like sitting leaning against a wall looking down, that could be 'sad man'
matcher: one with two arms up could be 'arms up'
matcher: one sitting against a wall with triangles on the head can be 'bunny ears'
matcher: one kind of looks like a bundled baby to me? like a blob with the head on top, i think you said it was kneeling
describer: oh yeah i see that now too.
matcher: one standing with one foot on the ground and one kicking out in front could be 'front kick'
describer: ok
matcher: one kneeling that looks like it is looking at its hands with a triangle at its back like a hood? facing right - that could be 'praying monk'
describer: ok i think i know which one you mean
matcher: cool
matcher: one standing facing left with hands out could be the beggar
matcher: one is sort of crouching, not kneeling all the way, facing right with hands out, can be 'crouching'
describer: he is the one we need this round
matcher: okay i'll click him now
",L,C
"matcher: nice
describer: bunny ears is next
",E,K
"describer: now kick back
",I,K
"describer: sad man
",F,F
"describer: this is one that looks like he is begging but we didn't name him yet facing to the right
matcher: kneeling?
describer: yeah
",K,J
"matcher: that last one can be kneeling beggar
describer: ok
describer: beggar
",D,J
"describer: front kick
",A,I
"describer: beggar again
",D,B
"describer: praying monk
",B,L
"describer: baby
",H,K
"describer: we didn't name this one but it's squared of on the left and has a diamond on top
",J,J
"matcher: that can be diamond top
describer: k
describer: sad man
",F,k
"describer: crouching
",L,C
"describer: bunny ears
",E,K
"describer: kneeling beggar
",K,F
"describer: front kick
",A,I
"describer: arms up
",C,C
"describer: this is the last one we didn't name
describer: kinda looks like he is on one knee
matcher: with arms out front and head back?
describer: yeah
",G,L
"matcher: that one can be arms out
describer: k
describer: kick back
",I,
"describer: diamond top
",J,K
"describer: kick back
",I,L
"describer: praying monk
",B,L
"describer: kneeling beggar
",K,F
"describer: kick front
",A,L
"describer: arms out
",G,C
"describer: bunny ears
",E,K
"describer: crouching
",L,C
"describer: beggar
",D,K
"describer: arms up
",C,C
"describer: sad man
",F,F
"describer: baby
",H,K
"describer: kick back
",I,L
"describer: crouching
",L,C
"describer: beggar
",D,K
"describer: bunny ears
",E,K
"describer: arms up
",C,C
"describer: front kick
",A,I
"describer: praying monk
",B,L
"describer: diamond top
",J,K
"describer: kneeling beggar
",K,F
"describer: arms out
",G,C
"describer: sad man
",F,F
"describer: baby
",H,K
"describer: crouching
",L,C
"describer: diamond top
",J,K
"describer: kick back
",I,L
"describer: baby
",H,K
"describer: front kick
",A,I
"describer: beggar
",D,K
"describer: arms up
",C,C
"describer: arms out
",G,C
"describer: bunny ears
",E,K
"describer: sad man
",F,F
"describer: kneeling beggar
",K,F
"describer: praying monk
",B,L
"describer: diamond top
",J,K
"describer: bunny ears
",E,K
"describer: beggar
",D,K
"describer: baby
",H,K
"describer: kneeling
describer: beggar
describer: sorry
",K,F
"matcher: :)
describer: arms out
",G,C
"describer: arms up
",C,C
"describer: praying monk
",B,L
"describer: sad man
",F,F
"describer: front kick
",A,I
"describer: crouching
",L,C
"matcher: last one! :)
describer: kick back :-)
",I,
"matcher: hello
describer: squatting and facing right
",L,J
"describer: a bunny rabbit with triangle ears
",E,G
"describer: a priest facing left holding a tablet
",D,A
"describer: sitting facing left with knees up
",F,F
"describer: standing on one foot, facing left, raised leg extended
",I,E
"describer: sitting on knees (japanese style), facing right -but not squatting - you don't see the lower legs or any arms
",H,J
"describer: sort of like an angel kneeling, facing right, with a triangle in her teeth
",B,
"describer: a ghost flying to the left with arms outstretched
",C,A
"describer: kneeling, facing right, back very straight, holding a book or tablet
describer: book, not book
describer: you can ask questions, too
",K,C
"describer: head on a pedestal - straight left side, sculpted right side
matcher: there's so many rounds, i'm just going to go for what looks closest.
describer: ok
",J,
"describer: shovelling show, facing left
",G,J
"describer: a bear walking to the left, but looking behind him (one leg raised toward the left)
",A,A
"describer: the same as last time - bear
matcher: so i know bear and ghost (flying)) if that helps
",A,
"describer: yoga - standing on one foot, facing left, raised leg extended
",I,A
"matcher: okay so that's yoga
describer: sitting, facing left, knees bent
",F,
"describer: 'kneeling presenter' - kneeling, facing right, way down on knees, head up, holding a tablet or something
describer: tablet, not table
",K,G
"describer: angel -  sort of like an angel kneeling, facing right, with a triangle in her teeth
",B,K
"describer: bunny - with triangle ears
",E,K
"describer: ghost
",C,K
"describer: japanese - sitting, facing sort of forward/right, no arms, no lower legs
",H,J
"describer: i called this shovelling snow last time - faces right, arm like they're pushing a shovel - sort of behind them, with a bunch of stuff lower right
describer: i mean lower left...
",G,
"describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
",D,
"describer: squatting - squatting, facing right, presenting a tablet
",L,F
"describer: head on a pedestal - straight left side, angled right side - no arms
",J,F
"matcher: call that vampire, i'll get it
describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
describer: no - squatting!!!!
describer: squatting - squatting, facing right, presenting a tablet
",L,J
"describer: bunny - sorry about that last one
matcher: its okay
",E,
"describer: 'kneeling presenter' - kneeling, facing right, way down on knees, head up, holding a tablet or something
",K,K
"describer: head on a pedestal - straight left side, angled right side - no arms
",J,F
"matcher: just call that vampire
describer: yoga - standing on one foot, facing left, raised leg extended
",I,
"describer: angel -  sort of like an angel kneeling, facing right, with a triangle in her teeth
",B,K
"describer: ghost
",C,K
"describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
",D,
"describer: japanese - sitting, facing sort of forward/right, no arms, no lower legs
",H,J
"describer: bear
",A,B
"describer: sitting, legs bent, facing left
",F,F
"describer: shovelling snow
",G,K
"describer: yoga
",I,G
"describer: shovelling snow
",G,K
"describer: bunny
",E,K
"describer: sitting, legs bent, facing left
",F,F
"describer: bear
",A,B
"describer: japanese - sitting, facing sort of forward/right, no arms, no lower legs
",H,J
"describer: 'kneeling presenter' - kneeling, facing right, way down on knees, head up, holding a tablet or something
",K,K
"describer: head on a pedestal - straight left side, angled right side - no arms
",J,F
"describer: angel
",B,A
"describer: squatting - squatting, facing right, presenting a tablet
",L,F
"describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
",D,
"describer: ghost
",C,K
"describer: yoga
",I,G
"describer: bear
",A,B
"describer: japanese - sitting, facing sort of forward/right, no arms, no lower legs
",H,J
"describer: head on a pedestal - straight left side, angled right side - no arms
",J,F
"describer: angel
",B,A
"describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
",D,
"describer: sitting, legs bent, facing left
",F,F
"describer: squatting - squatting, facing right, presenting a tablet
",L,F
"describer: shovelling snow
",G,K
"describer: ghost
",C,K
"describer: 'kneeling presenter' - kneeling, facing right, way down on knees, head up, holding a tablet or something
",K,K
"describer: bunny
",E,K
"describer: ghost
",C,K
"describer: bear
",A,B
"describer: sitting, legs bent, facing left
",F,F
"describer: 'kneeling presenter' - kneeling, facing right, way down on knees, head up, holding a tablet or something
",K,K
"describer: angel
",B,A
"describer: squatting - squatting, facing right, presenting a tablet
",L,F
"describer: head on a pedestal
",J,I
"describer: priest - a priest, facing left, wearing robes, presenting a tablet or something
",D,
"describer: yoga
",I,G
"describer: bunny
",E,K
"describer: japanese
",H,A
"describer: shovelling snow - thanks! you're the best!
matcher: good work :)
",G,
"describer: cayman facing right with diamond on his head.
",K,C
"describer: facing left with leg raised in front of himself.
",A,A
"matcher: hello
",E,None of the above.
"matcher: any clues?
",L,K
"matcher: hello?
",J,
"matcher: some help would be great!
",G,F
"matcher: what does it look like?
",D,K
"matcher: any information you'd like to share?
",C,L
"matcher: what does the shape look like?
",B,K
"matcher: is is the person that appears to be kneeling in prayer?
",A,F
"matcher: let's try to do well
",K,G
"matcher: hello?
",F,
"matcher: hello?
",H,
"matcher: hello?
",I,
"matcher: hello?
",L,
"matcher: right you there?
",B,G
"matcher: i really want to do well
",C,K
"matcher: please participate
",H,I
"matcher: please participate
",A,I
"matcher: please participate
",J,I
"matcher: hi
matcher: ready when you are
matcher: been waiting for 20 minutes now...
matcher: now waiting 25 minutes, no one else here
matcher: will wait 5 more minutes then submit with my id, thank you
matcher: ok over 30 minutes now
matcher: i tried to submit with my mturk id but that wont work
",L,
"describer: pick the one that looks like a person on one leg
",I,J
"describer: pick the one that has a diamond on top and a square-type shape on the left
",D,
"describer: the one that is sitting down, diamond head
",F,F
"describer: the one that has a square in the top right, looks like its balancing on one foot
",A,A
"describer: the one that has a diamond at top, and big blob, and points in the bottom right
",H,J
"describer: a diamond on top, a straight line on the left
",J,I
"describer: square on top left, 2 points on the right
",G,A
"describer: the one that looks like it has bunny ears
",E,K
"describer: a person who has both arms in the air
",C,C
"describer: a person squatting with his hand out
describer: on the right
",L,
"describer: 2 diamonds, 3 triangles,
describer: 2 triangles point right
",K,G
"describer: a square on top, a triangle to the bottom right of it, a blob on the bottom
",B,J
"describer: a standing person with a diamond head and his arm out
describer: hand outward to our left
",D,I
"describer: one square, one triangle facing upper left, one triangle facing down
",G,A
"describer: a diamond on top, straight line on left
",J,I
"describer: this one looks like a figure skater with both arms pointing to our left
describer: standing on one leg
",I,I
"describer: this looks like a person squatting down, so 2 points on the right, looks like a bent knee
",L,F
"describer: person with both arms out in the air
",C,C
"describer: looks like a dinosaur with a flag
describer: on one foot
describer: square upper right
",A,L
"describer: bunny ears
",E,K
"describer: diamond on top, blob, looks like a persons body if theyre sitting down
describer: 2 vertical lines
describer: goes to the right at the bottom
",H,L
"describer: looks like a diamond on top, diamond beneath it, 2 points on the right
describer: looks like 2 diamonds and 3 triangles overlapping
",K,F
"describer: square on top, triangle touching it to the bottom right of it
describer: blob
",B,F
"describer: looks like a person sitting on the floor looking down
describer: bent knee
",F,F
"matcher: my bad on that one
describer: triangle, blob that looks like a person
describer: like a portrait
describer: goes to the right at the bottom
",H,
"describer: this looks like a person sitting down on a chair
describer: triangle points right
describer: knees bent to the right
",L,F
"describer: bunny ears
",E,K
"describer: diamond on top, straight line on left
",J,I
"describer: person sat on the floor, looking down, knees bent, knee faces up
",F,F
"describer: the square on the top tilts right, triangle touches it to the right
describer: blob on bottom
",B,F
"describer: square tilts left, one triangle points to it, one triangle points to the bottom
describer: flat bottom
",G,F
"describer: person with hands in the air
",C,C
"describer: diamond head, person standing, their arm out to the left
describer: square under arm
",D,K
"describer: figure skater, both arms to the left
describer: one leg
",I,
"describer: 2 diamonds on top of each other, 3 triangles overlap
",K,F
"describer: dinosaur with a flag. square upper right.  one leg
",A,
"describer: looks like a person standing, diamond head, left arm
",D,A
"matcher: that one makes me think of a magician holding a top hat
describer: square tilts right, triangle on right touches it, blob on bottom
describer: oh yeah it does
",B,K
"describer: person squatting down onto chair, arm out on right
describer: knee bent towards right
matcher: triangle out of back or no?
describer: no
",L,K
"describer: dinosaur with flag on one leg
",A,J
"describer: square upper left tilts left
describer: bottom right triangle faces down
describer: flat on bottom left
",G,
"describer: the figure skater, one leg, 2 arms on left
",I,K
"describer: bunny ears
",E,K
"describer: diamond on top, straight line on left
",J,I
"describer: this is the one that i think looks like a person posing for portrait.  diamond on top, goes to the right at the bottom
",H,K
"describer: 2 diamonds stacked, 3 triangles, overlapping
",K,J
"describer: person with both arms in air
",C,C
"describer: person sitting on the ground looking down
describer: knee bent towards ceiling
",F,F
"describer: the magician with/ top hat
",D,A
"describer: bunny ears
",E,K
"describer: square tilts left, 2 triangles, flat on bottom left
",G,F
"describer: diamond on top, straight line on left
",J,I
"describer: portrait person, diamond on top, goes to the right at the bottom
",H,K
"describer: person with both arms waving in air
",C,C
"describer: square tilts right, 2 triangles point towards it
describer: triangle in bottom left corner
",B,K
"describer: person sat on ground looking down knee bent towards ceiling
",F,F
"describer: person squatting down, arm and knee point right
matcher: diamond on back?
describer: no
",L,K
"describer: dinosaur with flag, one leg, square top right
",A,A
"describer: 2 diamonds stacked, 3 triangles overlap
",K,F
"describer: figure skater, 2 arms left, standing on one leg
",I,
"describer: portrait person, diamond on top, goes to right at bottom
",H,K
"describer: diamond on top, straight line on left
",J,I
"describer: 2 diamonds stacked, 3 triangles overlap
",K,F
"describer: person squatting down, arm and knee to the right, straight back
",L,F
"describer: person sat on ground, head down, knee bent towards ceiling
",F,F
"describer: person with both arms in the air
",C,C
"describer: dinosaur with flag, one leg, square upper right
",A,K
"describer: square tilts left, 2 triangles on right, flat on bottom left
",G,F
"describer: square tilts right, 2 triangles point towards it, triangle on the bottom left
",B,G
"describer: figure skater, 2 arms left, on one leg
",I,K
"describer: bunny ears
",E,K
"describer: the magician
",D,
"matcher: hi
describer: looks sad with his head down kicking rocks
describer: hello :)
",A,I
"describer: standing straight and sideways facing east
describer: east
",J,G
"describer: woman kneeling and praying
",K,F
"describer: dancing a high energy dance kneeling with her arms in the air
",G,K
"describer: man who has an arrow like bottom facing east
describer: has not as
",L,
"describer: the last one you just picked
",I,L
"describer: a person standing straight is with a triangle facing east maybe kneeling
matcher: is the head shaped like a diamond in the middle of a horizontal line?
describer: yes the head is a diamond sitting on a triangle look ghostly
describer: ghostly
",H,K
"describer: woman praying in front of a mountain
",B,G
"describer: looks like a man falling backwards diamond head arms sprawled out
",C,K
"describer: a woman with big bow like thing on her head sitting
",E,F
"describer: person standing straight facing west
describer: with arms out
",D,A
"describer: man sitting facing west
",F,F
"describer: woman praying by the mountain
",B,H
"describer: woman with the bow
",E,B
"describer: lady with diamond head arms facing east kneeling sort of
describer: one i said was dancing last time
",G,
"describer: falling guy again diamond head
",C,K
"describer: the diamond head person who looks like they are squatting one i called arrow bottom
",L,
"describer: dude that looks like doing yoga with legs in an upside left position
describer: diamond head arms facing west
",I,
"describer: sad guy
",A,L
"describer: kneeling lady one you picked the last time as the squatting
describer: arms facing east
",K,F
"describer: guy that is sitting facing west
",F,F
"describer: man whose standing straight arms facing west
",D,A
"describer: the diamond head blob one, the diamond is sitting on top of a triangle, which is on top of square, then a tail is shape
",H,
"matcher: that looked like a crooked tie
describer: there ya go good name for that sorry couldnt explain it
describer: man facing east standing straight
",J,L
"describer: one i said was squatting diamond head arms facing east
",L,I
"describer: sad guy
",A,L
"describer: falling guy
",C,L
"describer: woman with bow
",E,B
"describer: man straight arms are west
",D,I
"describer: lady with diamond head, arms west, in a crouch like position called her dancing before
",G,
"describer: woman kneeling arms east
describer: diamond head
",K,
"describer: crooked tie
",H,K
"describer: straight man facing east
",J,A
"describer: sitting guy
",F,F
"describer: guy doing yoga
",I,A
"describer: praying mountain
",B,G
"describer: sad guy
",A,L
"describer: man who is arms facing east diamond head kneeling/squatting straight back
",L,F
"matcher: my bad
describer: sorry bow lady
",E,
"describer: sitting guy
",F,F
"describer: crooked tie
",H,K
"describer: falling guy
",C,L
"describer: straight arms west
",D,K
"describer: woman praying at the mountain
",B,
"describer: yoga guy
",I,K
"describer: last lady you picked as praying
describer: i keep calling her the dancing one
describer: keep
describer: diamond head
describer: arms east
describer: triangle between the legs
",G,F
"describer: straight facing east
",J,A
"describer: diamond head arms east, praying or accepting gifts or something
",K,K
"describer: falling guy
",C,L
"describer: one we keep getting wrong dancing lady
describer: triangle in the legs white one
",G,K
"describer: sitting guy
matcher: triangle in the legs threw me
",F,K
"describer: i suck at this , crooked tie
",H,I
"describer: lady praying mountain
",B,L
"describer: bow
matcher: just need to say triangle leg from now on
",E,B
"describer: sad guy
",A,L
"describer: straight facing east
",J,A
"describer: yoga
describer: yoga
",I,K
"describer: arms east triangle head, straight is back, look like a road arrow on his legs
",L,K
"matcher: i got that guy as squatting
describer: straight west
",D,J
"describer: okay gotcha
describer: woman getting gifts
",K,B
"describer: dude straight facing east
",J,A
"describer: gift lady
",K,K
"describer: yoga
",I,G
"describer: sad
",A,K
"describer: falling
",C,K
"describer: mountain praying
",B,K
"describer: sitting guy
",F,F
"describer: triangle leg
",G,I
"describer: bow
",E,K
"describer: squatting
",L,F
"describer: facing east
",D,K
"describer: sorry crooked tie
",H,K
"describer: ghost like
describer: hands up
matcher: is it leaning?
describer: yes
",C,K
"describer: sitting down with one leg forward
describer: leg is on the left side
matcher: foot visible?
describer: yes. back is parallel to the right side of the box
",F,B
"describer: looks like praying
describer: arm on the right side of the box
matcher: legs standing knees bent?
describer: yes
",L,K
"describer: head is on lest side and two hands in the air
describer: kind of a horse
describer: with two legs in air
",G,
"describer: head is a square attached to a triangle
",B,J
"describer: kind of praying but one leg pointing up
describer: square head
",K,K
"describer: a hat thats point is pointing left
matcher: right angle triangle on ground?
describer: no
describer: square head
describer: back is straight
describer: not sitting down
",D,L
"describer: falling down
",I,K
"describer: sitting down looking down square head
",E,F
"describer: head tipping off horse like
describer: off
describer: one leg in the air
matcher: repeat?
matcher: facing left or right?
matcher: hello?
",A,
"matcher: hello
",J,None of the above.
"matcher: is it one that looks like a seated woman back to the left, bow in hair?
",H,F
"matcher: any help would be appreciated.
",K,L
"describer: triangle head
describer: one shoulder pointing towards right
matcher: body shape?
describer: one triangle leg
describer: both on right side
",J,G
"describer: very plain figure
matcher: solid straight up?
",H,A
"describer: hat pointing left
describer: it was previously there
describer: triangle head
matcher: one arm to left?
describer: yes
",D,
"describer: head with triangle attached
",B,J
"describer: praying with bent legs
",L,A
"describer: one leg in the air
describer: two arms on left
describer: exercise position
",I,
"describer: sitting
describer: one leg on left
describer: back on right
",F,F
"describer: horse like
",G,K
"describer: flower head
",E,F
"describer: ghost
describer: flying
",C,C
"describer: head tipping off
describer: one leg in air left side
",A,L
"describer: exercise
",I,K
"describer: head with triangle attached
",B,J
"describer: ghost
",C,K
"describer: pray
",L,L
"describer: pray with one leg folded
",K,F
"describer: flower head
",E,F
"describer: very plain
describer: plain
",H,A
"describer: sitting
describer: sitting
",F,
"describer: hat
describer: left
",D,I
"describer: shoulder and leg on right side
",J,K
"describer: head tipping right
describer: gorilla
",A,G
"describer: one leg in air lest horse
describer: horse
describer: horse
",G,I
"describer: plain with two triangles
describer: right side
describer: shoulder on right side
describer: pointing out
",J,D
"describer: flower
",E,F
"describer: praying bent leg
describer: left side
",K,F
"describer: horse
",G,I
"describer: head with triangle
",B,K
"describer: ghost
",C,K
"describer: gorilla
",A,A
"describer: exercise
",I,K
"describer: plain
",H,K
"describer: hat
",D,K
"describer: sitting
",F,F
"describer: sit praying
describer: bent
",L,B
"describer: sitting
",F,F
"describer: praying with bent
describer: legs
matcher: no leg left side?
describer: yes
",L,I
"describer: horse
",G,I
"describer: hat
",D,K
"describer: plane
",H,K
"describer: shoulder
",J,A
"describer: ghost
",C,K
"describer: gorilla
",A,A
"describer: flower
",E,F
"describer: praying leg left
",K,I
